GROUP_ID,STAR_MACID,STAR_ID,VWMONITOR,IR_ID,MASTER_ID,BEACON_SLOT,COUNT,VW_RIGHTCOUNT,VW_LEFTCOUNT,MONITOR_LIST,VWRIGHT_MONITORLIST,VWLEFT_MONITORLIST,PROFILE_ID,CONTAMINATED
1001,00_24_DD_00_CB_2D,104,1,4088,223904,42,6,0,0,"223904, 350228, 350229, 350231, 355769, 355770",,,5,0
1002,00_24_DD_00_CB_2D,104,1,4058,355789,42,3,0,0,"355789, 355793, 355795",,,2,0
1003,00_24_DD_00_CB_12,102,1,4084,316287,39,2,0,0,"316123, 316287",,,2,0
1004,00_24_DD_00_CB_D8,106,1,4067,355787,44,6,0,0,"355477, 355515, 355524, 355773, 355787, 355788",,,5,0
1005,00_24_DD_00_CB_D8,106,1,4078,355510,44,2,0,0,"355467, 355510",,,6,0
1006,00_24_DD_00_CB_D8,106,1,4074,355482,44,2,0,0,"355431, 355482",,,3,0
1007,00_24_DD_00_CB_D8,106,1,4072,355450,44,2,0,0,"355450, 355512",,,2,0
1008,00_24_DD_00_CB_D8,106,1,4068,355798,44,2,0,0,"353908, 355798",,,4,0
1009,00_24_DD_00_CE_BA,86,1,327,352995,18,9,0,0,"352763, 352769, 352772, 352778, 352779, 352780, 352995, 355866, 356628",,,1,0
1010,00_24_DD_00_CE_BA,86,1,351,355676,18,2,0,0,"355676, 355897",,,2,0
1011,00_24_DD_00_CE_BA,86,1,348,355878,18,2,0,0,"355878, 355900",,,3,0
1012,00_24_DD_00_C8_D6,44,1,394,351759,9,2,0,0,"314904, 351759",,,4,0
1013,00_24_DD_00_CB_97,64,1,3389,223823,37,2,0,0,"223817, 223823",,,4,0
1014,00_24_DD_00_CB_4F,179,1,406,355490,45,2,0,0,"355325, 355490",,,3,0
1015,00_24_DD_00_CF_F2,75,1,1762,350964,3,2,0,0,"350711, 350964",,,6,0
1016,00_24_DD_00_CF_F2,75,1,1761,350923,3,2,0,0,"350728, 350923",,,5,0
1017,00_24_DD_00_CF_F2,75,1,1767,350918,3,7,0,0,"350779, 350918, 350937, 352326, 430718, 432083, 432286",,,4,0
1018,00_24_DD_00_CF_F2,75,1,1772,432299,3,2,0,0,"317227, 432299",,,2,0
1019,00_24_DD_00_CB_C9,77,1,1788,351548,6,11,0,0,"350685, 350712, 351478, 351528, 351547, 351548, 351567, 352071, 352075, 434051, 434294",,,1,0
1020,00_24_DD_00_CB_C9,77,1,1780,352481,6,6,0,0,"350700, 350704, 350708, 350729, 352415, 352481",,,5,0
1021,00_24_DD_00_CB_C9,77,1,1784,434064,6,2,0,0,"434064, 434390",,,6,0
1022,00_24_DD_00_CB_C9,77,1,1818,352478,6,5,0,0,"352040, 352042, 352093, 352096, 352478",,,4,0
1023,00_24_DD_00_CB_C9,77,1,1791,434050,6,2,0,0,"434050, 434095",,,3,0
1024,00_24_DD_00_CB_C9,77,1,1795,351557,6,2,0,0,"351490, 351557",,,2,0
1025,00_24_DD_00_CB_C9,77,1,1801,351667,6,2,0,0,"351570, 351667",,,3,0
1026,00_24_DD_00_CB_1E,78,1,1815,352486,7,4,0,0,"352484, 352486, 352489, 354104",,,2,0
1027,00_24_DD_00_CB_28,69,1,1105,429440,43,5,0,0,"352327, 352334, 429440, 430669, 430703",,,2,0
1028,00_24_DD_00_CB_D2,70,1,446,315383,44,4,0,0,"315383, 315836, 316589, 317107",,,1,0
1029,00_24_DD_00_CB_05,71,1,1237,428287,45,6,0,0,"350888, 353541, 353546, 428285, 428287, 431448",,,6,0
1030,00_24_DD_00_CB_05,71,1,1270,350900,45,2,0,0,"350900, 350906",,,2,0
1031,00_24_DD_00_CB_05,71,1,1225,431424,45,4,0,0,"431400, 431415, 431416, 431424",,,1,0
1032,00_24_DD_00_CB_2E,74,1,1290,350835,2,6,0,0,"350552, 350820, 350835, 350899, 350933, 350940",,,5,0
1033,00_24_DD_00_CB_2E,74,1,1213,353551,2,2,0,0,"353551, 353558",,,4,0
1034,00_24_DD_00_CB_2A,73,1,1176,430504,1,4,0,0,"430457, 430476, 430504, 430562",,,3,0
1035,00_24_DD_00_CB_2A,73,1,1099,429361,1,5,0,0,"429361, 429821, 430470, 431234, 431257",,,1,0
1036,00_24_DD_00_CB_2A,73,1,1100,429650,1,2,0,0,"429650, 430558",,,2,0
1037,00_24_DD_00_CB_2A,73,1,1820,223927,1,2,0,0,"223927, 350929",,,6,0
1038,00_24_DD_00_CB_2A,73,1,1143,430524,1,2,1,1,"429734, 430524",429801,430512,5,0
1039,00_24_DD_00_CB_2A,73,1,1149,431157,1,2,1,1,"429684, 431157",430490,429801,4,0
1040,00_24_DD_00_CB_2A,73,1,1151,432364,1,2,1,1,"432364, 432518",432244,430490,3,0
1041,00_24_DD_00_CB_2A,73,1,1173,428658,1,2,1,1,"428658, 429463",430468,430477,5,0
1042,00_24_DD_00_CB_2A,73,1,1168,430491,1,2,1,1,"430462, 430491",430477,432223,2,0
1043,00_24_DD_00_CB_2A,73,1,1199,429639,1,1,0,1,429639,,430468,4,0
1044,00_24_DD_00_CB_2A,73,1,1166,432212,1,1,1,0,432212,432223,,1,0
1045,00_24_DD_00_CB_2A,73,1,1154,429830,1,1,0,1,429830,,432244,2,0
1046,00_24_DD_00_CB_2A,73,1,1139,430020,1,1,1,0,430020,430512,,6,0
1047,00_24_DD_00_CF_F2,75,1,1771,350939,3,1,1,0,350939,350925,,3,0
1048,00_24_DD_00_CF_F2,75,1,1770,350926,3,1,0,1,350926,,350925,4,0
1049,00_24_DD_00_CC_47,402,1,1849,352381,7,1,1,1,352381,352395,352738,2,0
1050,00_24_DD_00_CC_47,402,1,1850,55555,7,1,1,1,55555,355970,355877,3,0
1051,00_24_DD_00_CB_19,105,1,4038,352426,43,1,1,0,352426,352366,,6,0
1052,00_24_DD_00_CB_19,105,1,4035,352429,43,1,0,1,352429,,357124,2,0
1053,00_24_DD_00_CF_59,110,1,1498,355160,2,5,0,0,"351351, 351785, 355160, 355213, 355220",,,2,0
1054,00_24_DD_00_CF_59,110,1,1475,355184,2,3,0,0,"351780, 355074, 355184",,,1,0
1055,00_24_DD_00_CF_59,110,1,1455,351811,2,2,0,0,"351710, 351811",,,4,0
1056,00_24_DD_00_CF_59,110,1,1454,357392,2,2,0,0,"351786, 357392",,,3,0
1057,00_24_DD_00_CF_59,110,1,1445,357400,2,2,0,0,"357365, 357400",,,4,0
1058,00_24_DD_00_CF_59,110,1,1460,351778,2,4,0,0,"351702, 351778, 356782, 357380",,,5,0
1059,00_24_DD_00_CB_BC,107,1,1361,357053,45,3,0,0,"356761, 356800, 357053",,,4,0
1060,00_24_DD_00_CB_BC,107,1,1500,357001,45,3,0,0,"357001, 357026, 357028",,,3,0
1061,00_24_DD_00_CB_BC,107,1,1387,356689,45,2,0,0,"356689, 356799",,,6,0
1062,00_24_DD_00_CB_BC,107,1,1396,356797,45,2,0,0,"356703, 356797",,,2,0
1063,00_24_DD_00_CB_BC,107,1,1431,357366,45,2,0,0,"356757, 357366",,,6,0
1064,00_24_DD_00_CB_BC,107,1,1440,357373,45,2,0,0,"357373, 357379",,,2,0
1065,00_24_DD_00_CB_BC,107,1,1428,356586,45,4,0,0,"356586, 357012, 357363, 357402",,,1,0
1066,00_24_DD_00_CB_BB,109,1,1862,350914,1,16,0,2,"350905, 350914, 351553, 351556, 351566, 352713, 352749, 355906, 355931, 356324, 356365, 356412, 357044, 357045, 357080, 432839",,"350913, 357047",1,0
1067,00_24_DD_00_CB_BB,109,1,1886,355927,1,1,2,0,355927,"355936, 357091",,3,0
1068,00_24_DD_00_CB_BB,109,1,1873,355922,1,2,1,1,"355918, 355922",356306,355936,2,0
1069,00_24_DD_00_CB_BB,109,1,1890,352750,1,2,1,1,"352750, 355903",355921,356306,4,0
1070,00_24_DD_00_CB_BB,109,1,1889,352762,1,2,1,1,"352762, 352814",352764,355921,3,0
1071,00_24_DD_00_CB_BB,109,1,1881,352756,1,2,1,1,"352745, 352756",352817,352764,2,0
1072,00_24_DD_00_CB_BB,109,1,1894,356333,1,2,1,1,"352739, 356333",356409,352817,4,0
1073,00_24_DD_00_CB_BB,109,1,1899,356334,1,2,1,1,"352840, 356334",356386,356409,5,0
1074,00_24_DD_00_CB_BB,109,1,1877,356331,1,2,1,1,"356240, 356331",350913,356386,2,0
1075,00_24_DD_00_CB_BB,109,1,1879,351531,1,2,1,1,"351531, 351568",351541,351559,2,0
1076,00_24_DD_00_CB_BB,109,1,1887,351347,1,2,1,1,"350946, 351347",432726,351541,3,0
1077,00_24_DD_00_CB_BB,109,1,1892,350922,1,2,1,1,"350856, 350922",350931,432726,4,0
1078,00_24_DD_00_CB_BB,109,1,1875,350936,1,2,1,1,"350936, 432799",350526,350931,2,0
1079,00_24_DD_00_CB_BB,109,1,1896,432544,1,2,1,1,"351564, 432544",357047,350526,5,0
1080,00_24_DD_00_C8_1D,0,1,1557,352956,10,6,0,0,"352526, 352531, 352534, 352537, 352929, 352956",,,3,0
1081,00_24_DD_00_C6_5C,219,1,590,314784,3,2,0,0,"314697, 314784",,,3,0
1082,00_24_DD_00_C2_5F,222,1,587,298456,7,2,0,0,"298456, 353299",,,2,0
1083,00_24_DD_00_C5_88,585,1,1553,357137,10,6,1,1,"356107, 356978, 357125, 357133, 357137, 357160",356185,356094,2,0
1084,00_24_DD_00_C7_51,233,1,1536,352520,21,4,0,0,"351519, 352520, 352573, 356100",,,1,0
1085,00_24_DD_00_C5_88,585,1,1556,352558,10,4,0,0,"352536, 352558, 352567, 352578",,,2,0
1086,00_24_DD_00_C7_51,233,1,1538,351423,21,2,0,0,"299491, 351423",,,2,0
1087,00_24_DD_00_C7_51,233,1,1533,353308,21,2,0,0,"299486, 353308",,,3,0
1088,00_24_DD_00_CE_60,538,1,2402,318449,44,2,0,0,"308861, 318449",,,4,0
1089,00_24_DD_00_CC_45,257,1,2887,319776,6,2,0,0,"319776, 442656",,,4,0
1090,00_24_DD_00_C1_BD,411,1,2107,443018,19,10,0,0,"432727, 432742, 433259, 433650, 433968, 434255, 442847, 443018, 443227, 444881",,,1,0
1091,00_24_DD_00_C1_BD,411,1,2122,434252,19,3,0,0,"434252, 434513, 444407",,,2,0
1092,00_24_DD_00_C1_BD,411,1,2094,434203,19,2,0,0,"434203, 444582",,,6,0
1093,00_24_DD_00_C1_BD,411,1,2117,433325,19,3,0,0,"433129, 433325, 433343",,,3,0
1094,00_24_DD_00_C1_BD,411,1,2112,433150,19,2,0,0,"433126, 433150",,,5,0
1095,00_24_DD_00_C1_BD,411,1,2109,442803,19,2,0,0,"316231, 442803",,,4,0
1096,00_24_DD_00_C1_BD,411,1,2133,432722,19,3,0,0,"432722, 432739, 432747",,,4,0
1097,00_24_DD_00_C1_BD,411,1,2131,432549,19,2,0,0,"432549, 432602",,,2,0
1098,00_24_DD_00_C1_BD,411,1,2123,442843,19,3,0,0,"442843, 442858, 443982",,,5,0
1099,00_24_DD_00_C1_BD,411,1,2087,444633,19,2,0,0,"442853, 444633",,,4,0
1100,00_24_DD_00_C1_BD,411,1,2139,432538,19,2,0,0,"432538, 433625",,,2,0
1101,00_24_DD_00_C1_BD,411,1,2145,433627,19,3,0,0,"432706, 433627, 433831",,,3,0
1102,00_24_DD_00_C1_BD,411,1,2085,444268,19,3,0,0,"444268, 444274, 444358",,,6,0
1103,00_24_DD_00_C4_E4,410,1,2081,442834,18,3,0,0,"433114, 442834, 443027",,,2,0
1104,00_24_DD_00_C4_E4,410,1,2072,433375,18,3,0,0,"433120, 433375, 444818",,,6,0
1105,00_24_DD_00_C4_E4,410,1,2075,433116,18,2,0,0,"433116, 444981",,,1,0
1106,00_24_DD_00_C4_E4,410,1,2066,433656,18,2,0,0,"433656, 433816",,,5,0
1107,00_24_DD_00_C4_E4,410,1,2055,442607,18,2,0,0,"442607, 442615",,,1,0
1108,00_24_DD_00_C4_E4,410,1,2054,442614,18,3,0,0,"442614, 442646, 442688",,,4,0
1109,00_24_DD_00_BF_D9,407,1,2175,444853,14,4,0,0,"434197, 434218, 442790, 444853",,,3,0
1110,00_24_DD_00_BF_D9,407,1,2204,444420,14,3,0,0,"444420, 444736, 444849",,,6,0
1111,00_24_DD_00_BF_D9,407,1,2205,444830,14,2,0,0,"444830, 444856",,,1,0
1112,00_24_DD_00_BF_D9,407,1,2157,434231,14,3,0,0,"434231, 434479, 444885",,,4,0
1113,00_24_DD_00_BF_D9,407,1,2151,444540,14,2,0,0,"444540, 444898",,,1,0
1114,00_24_DD_00_C0_AD,406,1,2001,316934,13,2,0,0,"316934, 317261",,,6,0
1115,00_24_DD_00_C7_03,323,1,2403,434681,45,9,0,0,"432474, 432500, 432633, 432655, 432705, 432764, 432835, 432926, 434681",,,1,0
1116,00_24_DD_00_C7_03,323,1,2482,432740,45,3,0,0,"432713, 432740, 433015",,,3,0
1117,00_24_DD_00_C7_03,323,1,2480,433013,45,2,0,0,"432979, 433013",,,4,0
1118,00_24_DD_01_0D_23,352,1,2465,430981,37,9,0,0,"430905, 430981, 430986, 433050, 433097, 434452, 434514, 434951, 436292",,,3,0
1119,00_24_DD_01_0D_23,352,1,2408,436299,37,3,0,0,"434480, 436299, 436316",,,4,0
1120,00_24_DD_01_0D_23,352,1,2413,434530,37,2,0,0,"434530, 436455",,,2,0
1121,00_24_DD_01_0D_23,352,1,2426,434649,37,3,0,0,"434413, 434649, 434706",,,1,0
1122,00_24_DD_01_0D_23,352,1,2441,433042,37,3,0,0,"433028, 433042, 433048",,,2,0
1123,00_24_DD_01_0D_23,352,1,2439,433026,37,2,0,0,"432916, 433026",,,4,0
1124,00_24_DD_01_0D_23,352,1,2434,434427,37,2,0,0,"434427, 434491",,,5,0
1125,00_24_DD_01_0D_23,352,1,2471,442682,37,3,0,0,"317208, 433041, 442682",,,1,0
1126,00_24_DD_00_C6_E1,321,1,2389,433054,43,8,0,0,"432486, 432616, 432661, 432670, 432676, 432702, 432901, 433054",,,2,0
1127,00_24_DD_00_C7_02,320,1,2020,316308,42,2,0,0,"314537, 316308",,,3,0
1128,00_24_DD_00_BD_81,354,1,2322,434107,39,12,0,0,"432557, 432618, 432626, 432630, 433559, 433562, 433596, 434069, 434092, 434107, 434127, 434137",,,1,0
1129,00_24_DD_00_BD_81,354,1,2282,433558,39,2,0,0,"432815, 433558",,,3,0
1130,00_24_DD_00_BD_81,354,1,2290,432863,39,4,0,0,"432637, 432763, 432787, 432863",,,2,0
1131,00_24_DD_00_BD_81,354,1,2286,432769,39,2,0,0,"432769, 432816",,,4,0
1132,00_24_DD_00_BD_81,354,1,2309,433580,39,4,0,0,"433570, 433574, 433580, 443893",,,3,0
1133,00_24_DD_00_BD_81,354,1,2308,433573,39,2,0,0,"433573, 433581",,,5,0
1134,00_24_DD_01_0D_23,352,1,2376,432873,37,12,0,0,"428955, 429286, 429293, 432478, 432581, 432639, 432641, 432731, 432825, 432873, 432881, 433196",,,3,0
1135,00_24_DD_01_0D_23,352,1,2346,432741,37,4,0,0,"432741, 432759, 433617, 443574",,,1,0
1136,00_24_DD_01_0D_23,352,1,2350,432798,37,2,0,0,"432798, 432849",,,5,0
1137,00_24_DD_01_0D_23,352,1,2372,432762,37,2,0,0,"432762, 432765",,,4,0
1138,00_24_DD_01_0D_23,352,1,2371,432814,37,4,0,0,"429280, 432814, 432840, 443900",,,2,0
1139,00_24_DD_01_0D_23,352,1,2337,443817,37,4,0,0,"429275, 432570, 432768, 443817",,,5,0
1140,00_24_DD_01_0D_23,352,1,2331,432648,37,2,0,0,"432648, 432950",,,1,0
1141,00_24_DD_01_0D_23,352,1,2360,433034,37,4,0,0,"432551, 432948, 433034, 433077",,,4,0
1142,00_24_DD_00_C0_C2,353,1,2225,429451,38,9,0,0,"428448, 429451, 429471, 429513, 429641, 430430, 430546, 432424, 432484",,,2,0
1143,00_24_DD_00_C0_17,350,1,2003,225025,33,2,0,0,"224846, 225025",,,3,0
1144,00_24_DD_01_0D_23,352,1,2367,433079,37,2,0,0,"432861, 433079",,,2,0
1145,00_24_DD_01_0D_23,352,1,2462,430995,37,2,0,0,"430982, 430995",,,6,0
1146,00_24_DD_01_0D_23,352,1,2451,430976,37,3,0,0,"430941, 430976, 431041",,,5,0
1147,00_24_DD_00_C1_BD,411,1,2839,444688,19,2,0,0,"444303, 444688",,,3,0
1148,00_24_DD_00_CB_C9,77,1,3055,350627,6,2,0,0,"350627, 352376",,,2,0
1149,00_24_DD_00_CB_C9,77,1,3052,352387,6,2,0,0,"350669, 352387",,,3,0
1150,00_24_DD_00_CB_C9,77,1,3057,444912,6,2,0,0,"444463, 444912",,,2,0
1151,00_24_DD_00_CB_77,308,1,2834,429042,26,2,0,0,"356361, 429042",,,3,0
1152,00_24_DD_00_CB_77,308,1,2660,355781,26,2,0,0,"355780, 355781",,,2,0
1153,00_24_DD_00_CB_77,308,1,2817,428912,26,2,0,0,"428912, 429072",,,3,0
1154,00_24_DD_00_CB_77,308,1,2812,429251,26,2,0,0,"429049, 429251",,,2,0
1155,00_24_DD_00_CB_77,308,1,2811,428906,26,2,0,0,"428906, 429071",,,4,0
1156,00_24_DD_00_C8_97,307,1,2798,428866,25,2,0,0,"428803, 428866",,,3,0
1157,00_24_DD_00_C8_97,307,1,2794,428857,25,2,0,0,"428857, 428934",,,5,0
1158,00_24_DD_00_C7_E8,316,1,2753,356451,37,3,0,0,"356451, 428833, 428865",,,5,0
1159,00_24_DD_00_C7_E8,316,1,2749,356384,37,2,0,0,"356384, 356407",,,6,0
1160,00_24_DD_00_C7_E8,316,1,2757,356349,37,2,0,0,"356349, 356413",,,4,0
1161,00_24_DD_00_C7_E8,316,1,2765,429158,37,2,0,0,"428821, 429158",,,6,0
1162,00_24_DD_00_C7_E8,316,1,2782,428925,37,2,0,0,"428925, 429115",,,4,0
1163,00_24_DD_00_C7_E8,316,1,2783,429205,37,2,0,0,"428829, 429205",,,3,0
1164,00_24_DD_00_C7_E8,316,1,2663,428920,37,4,0,0,"356568, 356580, 356599, 428920",,,3,0
1165,00_24_DD_00_C8_3A,311,1,2746,355784,30,2,0,0,"355765, 355784",,,2,0
1166,00_24_DD_00_C8_3A,311,1,2745,355709,30,2,0,0,"355685, 355709",,,1,0
1167,00_24_DD_00_C8_3A,311,1,2738,355777,30,2,0,0,"350632, 355777",,,2,0
1168,00_24_DD_00_C8_09,314,1,2725,350653,33,2,0,0,"350653, 350676",,,4,0
1169,00_24_DD_00_C8_09,314,1,2721,352091,33,2,0,0,"351699, 352091",,,1,0
1170,00_24_DD_00_C8_09,314,1,2731,350629,33,4,0,0,"350613, 350629, 350652, 351057",,,6,0
1171,00_24_DD_00_C8_0A,313,1,2700,351061,32,2,0,0,"351061, 351709",,,2,0
1172,00_24_DD_00_C8_0A,313,1,2696,352142,32,2,0,0,"351041, 352142",,,2,0
1173,00_24_DD_00_C8_0A,313,1,2687,356421,32,2,0,0,"356346, 356421",,,4,0
1174,00_24_DD_00_C7_F8,312,1,2661,356381,31,2,0,0,"356381, 356462",,,1,0
1175,00_24_DD_00_C7_F8,312,1,2677,350962,31,2,0,0,"350924, 350962",,,5,0
1176,00_24_DD_00_C7_EA,341,1,2582,354999,21,4,0,0,"351860, 354522, 354999, 356067",,,6,0
1177,00_24_DD_00_C7_EA,341,1,2656,354937,21,2,0,0,"354927, 354937",,,3,0
1178,00_24_DD_00_C7_EA,341,1,2648,354903,21,2,0,0,"354903, 354909",,,5,0
1179,00_24_DD_00_C7_EA,341,1,2642,354932,21,2,0,0,"354932, 356518",,,4,0
1180,00_24_DD_00_C7_EA,341,1,2633,356522,21,2,0,0,"356521, 356522",,,2,0
1181,00_24_DD_00_C8_2A,344,1,2613,354841,26,2,0,0,"354841, 354931",,,1,0
1182,00_24_DD_00_C8_2A,344,1,2597,354915,26,2,0,0,"354915, 354918",,,4,0
1183,00_24_DD_00_C8_2A,344,1,2599,354920,26,2,0,0,"354920, 357007",,,6,0
1184,00_24_DD_00_C8_2A,344,1,2602,356774,26,2,0,0,"356774, 357056",,,4,0
1185,00_24_DD_00_C7_E4,345,1,2578,355967,27,2,0,0,"354411, 355967",,,6,0
1186,00_24_DD_00_C7_E4,345,1,2566,355876,27,2,0,0,"355876, 356279",,,6,0
1187,00_24_DD_00_C7_E4,345,1,2562,351030,27,4,0,0,"350747, 350755, 351030, 355914",,,2,0
1188,00_24_DD_00_C7_E4,345,1,2550,350749,27,2,0,0,"350749, 350750",,,4,0
1189,00_24_DD_00_C7_E4,345,1,2549,350743,27,2,0,0,"350743, 350748",,,6,0
1190,00_24_DD_00_C7_E4,345,1,2561,356308,27,2,0,0,"350692, 356308",,,3,0
1191,00_24_DD_00_C7_E4,345,1,2564,356045,27,2,0,0,"356045, 356305",,,5,0
1192,00_24_DD_00_C7_ED,349,1,2528,356548,32,2,0,0,"356548, 356610",,,6,0
1193,00_24_DD_00_C7_ED,349,1,2524,356588,32,2,0,0,"356588, 356837",,,6,0
1194,00_24_DD_00_C7_ED,349,1,2517,357019,32,2,0,0,"356992, 357019",,,2,0
1195,00_24_DD_00_C8_43,317,1,2510,356566,38,2,0,0,"356566, 357064",,,2,0
1196,00_24_DD_00_C8_43,317,1,2501,356582,38,2,0,0,"356501, 356582",,,4,0
1197,00_24_DD_00_BE_E5,480,1,3029,352570,15,5,0,0,"352121, 352570, 352584, 352599, 443756",,,1,0
1198,00_24_DD_00_BE_E5,480,1,3025,443663,15,2,0,0,"443443, 443663",,,5,0
