SNo, Status, Count, Version, PowerLevelRight, ProfileRight, Name, MonitorId, IRIdRight, IRIdVWLeft, Self Noise, AStar, Part, Rssi, Star, Pkts Upgraded, Upgrade Status, MonitorType, LocationCnt, TriggerCnt, SuperSyncTrigger, SuperSyncFrequency, IRProfile, Star MacId, Noise Level, AStar MacId, ProfileVWLeft, Super Sync, Time, Idx, RootCause, Master/Slave, PowerLevelVWLeft, SpecialBeaconMissed, BeaconReceiveCount, SuperSyncSlot, TriggerCountForIRNotRecv/DIM TriggerCount, LBI, LBI Value, Retry, Cycle Count
20, ,7783, M.12.1.11, Medium,3, ,349055,2581,, No,458,1,-62,458, , , VW - 900 MHZ,1135,, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:51, Medium, 00:24:DD:00:CB:51, , Super Sync OFF,44270.63194,4, , Master, ,,7902376, , , No,741,1,11
21, ,7817, M.12.1.6, Medium,3, ,320014,3118,, No,191,1,-53,191, , , VW - 900 MHZ,2367,10, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:8E, Medium, 00:24:DD:00:CB:8E, , Super Sync ON,44270.63264,0, , Master, ,,7901538, , , No,726,2,22
22, ,7786, M.3.1.20, Medium,2, ,298586,3726,, No,178,1,-80,178, , , Monitor,11652,9, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:8A, Medium, 00:24:DD:00:CB:8A, , Super Sync OFF,44270.63194,9, , Master, ,,7187714, , , No,761,1,12
23, ,7790, M.12.1.12, Low,2, 1344 H,263634,107,, No,547,2,-59,547, , , VW - 900 MHZ,1078,4, No, Frequency Range 1, 3 secs, 00:24:DD:00:C1:C4, High, 00:24:DD:00:C1:C4, , Super Sync ON,44270.63264,1, , Master, ,202142,11036549, , , No,1023,1,13
24, ,7792, M.12.1.11, Medium,2, ,348027,2679,, No,305,1,-72,305, , , VW - 900 MHZ,13965,9, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:BF:7F, Medium, 00:24:DD:00:BF:7F, , Super Sync OFF,44270.63264,8, , Master, ,,5812626, , , No,669,1,14
25, ,7784, M.12.1.12, Medium,2, ,556656,2448,, No,415,1,-57,415, , , VW - 900 MHZ,3178,4, No, Frequency Range 1, 3 secs, 00:24:DD:00:CA:E4, Medium, 00:24:DD:00:CA:E4, , Super Sync OFF,44270.63194,0, , Master, ,,3409126, , , No,1023,2,11
26, ,7790, M.12.1.11, Medium,4, ,352181,1293,, No,577,1,-77,577, , , VW - 900 MHZ,3742,6, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:0E, Medium, 00:24:DD:00:CB:0E, , Super Sync ON,44270.63264,11, , Master, ,32283,6349698, , , No,744,1,13
27, ,7789, M.12.1.12, Medium,2, ,319500,3931,, No,182,2,-59,183, , , VW - 900 MHZ,2329,3, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:45, Medium, 00:24:DD:00:CB:C1, , Super Sync ON,44270.63264,13, , Master, ,334183,7794690, , , No,742,1,13
28, ,7793, M.12.1.12, Medium,4, ,392745,3916,, No,264,1,-56,264, , , VW - 900 MHZ,1392,, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:4E, Medium, 00:24:DD:00:CB:4E, , Super Sync ON,44270.63264,12, , Master, ,6359,5037383, , , No,1023,1,14
29, ,7787, M.3.1.20, Medium,1, ,224056,3948,, No,209,1,-87,209, , , Monitor,13786,138, No, Frequency Range 1, 3 secs, 00:24:DD:00:CA:DC, Medium, 00:24:DD:00:CA:DC, , Super Sync OFF,44270.63194,4, , Master, ,,6062222, , , No,764,2,12
30, ,0, M.3.1.20, High,6, ,297983,3697,, No,129,1,-79,133, , , Monitor,10085,, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:CC:1F, Medium, 00:24:DD:00:CB:A1, , Super Sync ON,44173.58542,4, , Master, ,38794,6458955, , , Yes,481,2,124
31, ,7792, M.12.1.12, Medium,6, ,556168,150,, No,231,1,-72,231, , , VW - 900 MHZ,4925,, No, Frequency Range 1, 3 secs, 00:24:DD:00:C0:2F, Medium, 00:24:DD:00:C0:2F, , Super Sync OFF,44270.63264,12, , Master, ,,2890629, , , No,1023,1,13
32, ,7784, M.3.1.20, Medium,1, ,299745,3729,, No,24,1,-72,30, , , Monitor,11073,, No, Frequency Range 1, 3 secs, 00:24:DD:00:CA:59, Medium, 00:24:DD:00:C1:DC, , Super Sync OFF,44270.63194,4, , Master, ,,7247671, , , No,761,1,11
33, ,7798, M.12.1.11, Medium,3, ,349354,2623,, No,433,1,-77,457, , , VW - 900 MHZ,7900,15, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:CB:0B, Medium, 00:24:DD:00:CD:F4, , Super Sync OFF,44270.63264,6, , Master, ,,7719023, , , No,744,1,16
34, ,7793, M.12.1.12, Medium,1, ,392273,3908,, No,264,1,-59,264, , , VW - 900 MHZ,1300,2, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:4E, Medium, 00:24:DD:00:CB:4E, , Super Sync ON,44270.63264,13, , Master, ,4965,5039563, , , No,1023,2,14
35, ,7791, M.12.1.11, Medium,3, ,352307,1763,, No,75,1,-78,75, , , VW - 900 MHZ,10956,6, No, Frequency Range 1, 3 secs, 00:24:DD:00:CF:F2, Medium, 00:24:DD:00:CF:F2, , Super Sync OFF,44270.63264,15, , Master, ,,5967570, , , No,753,3,13
36, ,7781, M.12.1.12, Low,1, ,430566,1156,, No,52,1,-73,105, , , VW - 900 MHZ,5660,3, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:19, Medium, 00:24:DD:00:CE:92, , Super Sync OFF,44270.63194,2, , Master, ,,5965556, , , No,746,2,10
37, ,7929, M.12.1.11, Medium,1, ,350251,4029,, No,105,1,-60,105, , , VW - 900 MHZ,29834,2, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:CB:19, High, 00:24:DD:00:CB:19, , Super Sync OFF,44270.63403,2, , Master, ,,5676873, , , No,753,2,59
38, ,7793, M.12.11.1, Medium,6, ,444916,3006,, No,480,1,-63,482, , , VW - 900 MHZ,3443,2754, No, Frequency Range 1, 3 secs, 00:24:DD:00:BF:26, Medium, 00:24:DD:00:BE:E5, , Super Sync OFF,44270.63264,11, , Master, ,,5326994, , , No,743,1,14
39, ,7790, M.3.1.20, Medium High,6, ,224958,1911,, No,152,2,-72,152, , , Monitor,12483,12, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:CE:37, Low, 00:24:DD:00:CE:37, , Super Sync ON,44270.63264,15, , Master, ,63213,8033993, , , No,514,3,13
40, ,7873, M.3.1.20, Medium,6, ,299614,3714,, No,188,1,-89,125, , , Monitor,14965,, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:CB:AF, Medium, 00:24:DD:00:CB:74, , Super Sync OFF,44270.63333,14, , Master, ,,7209518, , , No,761,2,41
41, ,7796, M.12.1.6, Medium,6, ,317735,3073,, No,190,1,-65,190, , , VW - 900 MHZ,1259,, No, Frequency Range 1, 3 secs, 00:24:DD:00:CB:58, Medium, 00:24:DD:00:CB:58, , Super Sync OFF,44270.63264,6, , Master, ,,7902569, , , No,736,2,15
42, ,7791, M.12.1.11, Custom Powerlevel,6, ,352952,3675,3701, Yes,585,1,-47,585, , , VW - 900 MHZ,1181,2, No, Frequency Range 1, 3 secs, 00:24:DD:00:C5:88, Low, 00:24:DD:00:C5:88, 5]-E Profile, Super Sync ON,44270.63264,5, , Master, Custom Powerlevel,87965,5952841, , , No,746,3,13
43, ,7796, M.12.1.11, Medium,5, ,355522,1171,, No,537,1,-61,61, , , VW - 900 MHZ,4445,, Yes, Frequency Range 1, 3 secs, 00:24:DD:00:CB:64, Medium, 00:24:DD:00:CB:82, , Super Sync OFF,44270.63264,4, , Master, ,,6262290, , , No,745,1,15
